"Susceptible","Exposed","Infected","Recovered","OnTreatment"
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1668.0,1.0,0.0,1.0
3299.0,1667.0,2.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3299.0,1666.0,3.0,0.0,1.0
3298.0,1667.0,3.0,0.0,1.0
3298.0,1667.0,3.0,0.0,1.0
3298.0,1667.0,3.0,0.0,1.0
3298.0,1667.0,3.0,0.0,1.0
3298.0,1667.0,3.0,0.0,1.0
3298.0,1667.0,3.0,0.0,1.0
3298.0,1667.0,3.0,0.0,1.0
3298.0,1667.0,3.0,0.0,1.0
3298.0,1667.0,3.0,0.0,1.0
3298.0,1667.0,3.0,0.0,1.0
3298.0,1667.0,3.0,0.0,1.0
3298.0,1667.0,3.0,0.0,1.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1667.0,2.0,0.0,2.0
3298.0,1666.0,3.0,0.0,2.0
3297.0,1667.0,3.0,0.0,2.0
3297.0,1667.0,3.0,0.0,2.0
3297.0,1667.0,3.0,0.0,2.0
3297.0,1667.0,3.0,0.0,2.0
3297.0,1667.0,3.0,0.0,2.0
3297.0,1667.0,3.0,0.0,2.0
3297.0,1667.0,3.0,0.0,2.0
3297.0,1667.0,3.0,0.0,2.0
3297.0,1667.0,3.0,0.0,2.0
3297.0,1667.0,3.0,0.0,2.0
3297.0,1667.0,3.0,0.0,2.0
3297.0,1667.0,3.0,0.0,2.0
3297.0,1667.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3296.0,1668.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1669.0,3.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,4.0,0.0,2.0
3295.0,1668.0,3.0,0.0,3.0
3294.0,1669.0,3.0,0.0,3.0
3294.0,1668.0,4.0,0.0,3.0
3294.0,1668.0,4.0,0.0,3.0
3294.0,1668.0,4.0,0.0,3.0
3294.0,1668.0,4.0,0.0,3.0
3294.0,1668.0,4.0,0.0,3.0
3294.0,1668.0,4.0,0.0,3.0
3294.0,1668.0,4.0,0.0,3.0
3294.0,1668.0,4.0,0.0,3.0
3294.0,1668.0,4.0,0.0,3.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1669.0,3.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1668.0,4.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
3293.0,1667.0,5.0,0.0,4.0
